"file","category","model","issue","resolution","code_snippet"
"Re_ Re_ Cables and Adaptors for B2 ang G1.md","hardware","G1","客户的 G1 硬件版本过旧。","将为客户发送一对新的前臂和三台 LiDAR。",""
"Re_ Re_ Calibrate Go2 Robot.md","other","Go2","Calibration of the Go2 robot dog.","You need to calibrate the robot dog at least twice. Videos about calibration can be found in the app and on our YouTube account.",""
"Re_ Re_ Camera Data on ROS2.md","sdk","","无法通过 ROS SDK 访问相机数据。","建议通过 C++ 或 Python 获取相机数据。","https://support.unitree.com/home/en/developer/Multimedia_Services"
"Re_ Re_ Connecting to Go2 with Wifi in development mode(1).md","sdk","Go2","Connecting to Go2 with Wifi in development mode.","Use SSH to access the Go2 docking station and deploy your code.","ssh unitree@<IP> to access the Go2 docking station , deploy your code on it."
"Re_ Re_ Creating an account.md","environment","","用户在使用手机应用时遇到问题，可能与网络环境有关。","建议用户切换网络环境，关闭 VPN，或使用数据连接而非 WiFi。还建议重新安装手机应用并确保应用权限设置正确。如果问题仍然存在，请提供手机型号和系统版本。",""
"Re_ Re_ D1 arm low-level controller access and sim-to-real suggestions(1).md","control","D1","用户询问关于 D1 机械臂的低级控制能力，特别是是否支持基于扭矩（torque）、比例增益（kp）、微分增益（kd）的控制。","D1 机械臂的能力有限，不支持基于低级控制的操作，因此不推荐在 D1 机械臂上进行强化学习（RL）。","https://support.unitree.com/home/en/developer/D1Arm_services"
"Re_ Re_ Email about Replacement Board(2).md","other","","The robot type is identified as 11/12 for the black pelvis and 5/6 for the silver pelvis.","The robot ID can be changed from the back end, but the robot needs to be online in WiFi mode.",""
"Re_ Re_ D1 servo arm questions.md","hardware","D1","The motors of the D1 servo arm may not be functioning correctly, possibly due to an issue with the zeroing procedure or a hardware issue with the motors.","Check the web interface to see if all motors can be controlled as expected. If they are working, the issue may be with the zeroing procedure. If not, it could be a hardware issue, and assistance can be provided for motor replacement or product replacement.",""
"Re_ Re_ D1 servo arm questions.md","sdk","D1","The robotic arm’s software version may not be compatible with the examples in the SDK, or there could be a configuration issue with the SDK’s runtime environment.","Conduct an initial check on the software version compatibility and the SDK’s runtime environment configuration, and provide more information for further assistance.",""
"Re_ Re_ ENT - 2 way communications issue.md","other","","The microphone and related functions for two-way communication were clarified, specifically that the robot can only receive audio from the controller and cannot send surrounding sounds back.","The voice intercom and speaker functions operate in a one-way manner, from the controller to the robot. A connected microphone is required on the controller to use this feature, as the controller does not have a built-in microphone port.",""
"Re_ Re_ Follow up on Meta Order INB3293014(3).md","environment","G1","客户询问如何连接机器人，并提到使用 Wi-Fi 模式。","确保使用 Wi-Fi 模式连接机器人。","https://www.unitree.com/app/g1"
"Re_ Re_ Follow up on Meta Order INB3293014(1).md","environment","","用户需要配置设备的静态IP以便连接。","确保设备的IP配置为静态192.168.123.xxx，并通过以太网电缆将笔记本电脑连接到 docking station，然后使用SSH连接。","ssh unitree@<IP>   password : 123"
"Re_ Re_ Follow up on Meta Order INB3293014(2).md","sdk","G1","如何通过 SSH 连接到 G1 机器人。","使用 SSH 连接到 G1 机器人，用户名为 'unitree'，密码为 '123'。","ssh unitree@<IP> password: 123"
"Re_ Re_ Firmware update breaking ENT robot.md","hardware","G1","Firmware update breaking ENT robot.","Parts required for repairing the G1 have been taken, but the sender is unavailable for the next 3 weeks. They suggest shipping the boards for replacement.",""
"Re_ Re_ Firmware update breaking ENT robot.md","control","B2","Navigation solution for B2.","The team has been informed about the B2 navigation solution and will provide feedback the next morning.",""
"Re_ Re_ Fwd_ Re_ Re_ Tracking Number - Unitree Robotics.md","hardware","","用户遇到机器人问题，建议重启机器人并检查问题是否仍然存在。","如果问题仍然存在，建议更换电池进行检查。",""
"Re_ Re_ Fwd_ Re_ Unitree Robot official website consultation reply--Boomi(4).md","hardware","","客户报告了机器人可能存在机械问题，特别是电机齿轮方面的故障。","建议客户关闭机器人的电源并检查机器人的齿轮。如果确认是电机齿轮的机械问题，愿意为客户更换一对新的机器人手臂。如果问题不是机械故障，请等待即将发布的软件更新，预计在3-4周内发布。",""
"Re_ Re_ Fwd_ Unitree G1 Upgrade(2).md","environment","G1","用户在进行OTA（Over-The-Air）更新时遇到网络连接问题，更新记录显示没有信息。","建议用户检查网络连接，尝试使用手机热点进行更新。",""
"Re_ Re_ Fwd_ Re_ Re_ Tracking Number - Unitree Robotics(2).md","hardware","","The communication cable between the battery and the motherboard appears to be disconnected, preventing the robot from reading the battery level. This causes the system to mistakenly assume the battery is low, leading to malfunction and inability to move.","Check the socket connection between the battery and the motherboard to ensure it is properly connected.","https://drive.google.com/file/d/1W3dNFTnyoGqBThi3H4qPxsU4WfKkVaJa/view?usp=drive_link"
"Re_ Re_ Fwd_ Unitree G1 Upgrade(6).md","hardware","G1","用户遇到相机问题，影响机器人更新。","检查相机的软件问题，参考支持文档。相机问题不影响OTA更新。如果仍无法完成更新，建议更换PC1板。","https://support.unitree.com/home/en/G1_developer/FAQ"
"Re_ Re_ Fwd_ Re_ Unitree Robot official website consultation reply--Boomi.md","hardware","","客户请求检查机器人关节是否存在齿轮问题，并提供相关视频。","建议客户在机器人关闭的情况下旋转每个关节，并拍摄视频以检查是否有齿轮问题。同时，要求客户在机器人开启时拍摄手部运动的视频，以帮助确定哪个关节存在问题。",""
"Re_ Re_ Fwd_ Unitree G1 Upgrade(4).md","sdk","G1","用户需要使用 G1 机器人的舞蹈功能和导航功能，但遇到问题。","确保机器人通过 Unitree explore 应用程序更新到最新版本，并连接到 WiFi。对于 G1 EDU+ 版本，需将 USB-C 线连接到颈部的任意 USB-C 接口，然后重试。更新应用程序和机器人后，尝试在应用程序中使用导航功能。","https://global-serviceconsole.unitree.com/#/help/011307"
"Re_ Re_ G1 EDU + Inspire 5 finger hands(1).md","sdk","G1 EDU","在更新到新固件后，部分客户无法通过应用程序正常更新，应用程序报告错误，提示客户更新到最新版本，但无法完成更新。","由于最新更新存在未知错误，建议暂时停止更新，等待后续修复。",""
"Re_ Re_ G1 Humanoid Question.md","hardware","G1","The rubber on the neck needs to be adjusted.","Unscrew the screw of the rubber on the neck and connect the USB-C cable to the interface.",""
"Re_ Re_ Fwd_ Unitree G1 Upgrade.md","sdk","G1","用户需要确保机器人升级到最新版本，以便使用舞蹈功能，并且在使用 G1 EDU+ 版本时需要连接 USB-C 线。","确保通过 Unitree Explore 应用程序将 G1 机器人 OTA 升级到最新版本，并连接到 Wi-Fi。对于 G1 EDU+ 版本，需将 USB-C 线插入颈部的任意 USB-C 接口，然后重试。导航功能同样需要更新应用和机器人。","https://global-serviceconsole.unitree.com/#/help/011307"
"Re_ Re_ G1 Ubuntu and Python.md","sdk","G1","Currently, the Python SDK for G1 is not available.","Only unitree_sdk2, which is based on C++, is available for use, similar to what is used for Go2 development.",""
"Re_ Re_ G1 left wrist sparking(2).md","hardware","G1","G1 left wrist sparking issue.","A pair of new forearms will be sent to replace the faulty ones. Installation instructions can be found in the provided video link.","https://drive.google.com/file/d/1vzyqjfP1__UIjS-QhWB1TrGOQdOYQdDX/view?usp=drive_link"
"Re_ Re_ G1 Support.md","sensor","G1","IMU issue with G1-1981, requires feedback after correct IMU calibration.","Need to perform a correct IMU calibration and provide feedback for further checks.",""
"Re_ Re_ G1 Support.md","control","G1","G1-2261 issue resolved by changing the command of the controller.","The command of the controller was changed to fix the issue. Refer to the provided PDF for details.",""
"Re_ Re_ G1 walking modes_.md","other","G1","询问关于 G1 的全身行走模式的可用性。","全身行走模式目前仅在 23-dof 的 G1 上可用，但客户的 G1 可能是 29-dof 的版本。",""
"Re_ Re_ GO2 Edu Battery Charging Isues..md","hardware","Go2 EDU","The charger for the Go2 EDU appears to be faulty based on the provided video.","Fill out the after-sales service form and return it to arrange for a new charger.",""
"Re_ Re_ GO1 Hip Motor.md","hardware","GO1","The hip motor of the GO1 robot is malfunctioning, and there is a suggestion to replace it.","Instead of replacing the motor, it is recommended to perform motor calibration as a faster and cheaper solution.","https://www.youtube.com/watch?v=cOuoeAt8ka4&list=PLGhHq8nB_7DWfHPrebqciLoCWMKQAO-6j&index=6"
"Re_ Re_ GO2 EDU - USB Controller Failures, SLAM_Sport Mode Non-Functional(1).md","hardware","Go2 EDU","用户报告了 Go2 EDU 的 USB 控制器故障以及 SLAM/Sport 模式无法正常工作。","将会在接下来的 3-4 周内收到新的 LiDAR，并提供了更换 LiDAR 的视频链接。","https://drive.google.com/drive/folders/1Bnli2HLPbqe782tnBxO4UMvgj3Kbe8Rf?usp=drive_link"
"Re_ Re_ GO2 board Jetson ORIN.md","environment","Go2","The software configuration on the extension board has been reset to factory settings, causing the IP address to change.","Follow the instructions in the document to flash the Unitree image onto the extension dock instead of using the reset button. Refer to the section titled 'System Restore' for the steps needed to restore the Jetson card to the correct configuration.",""
"Re_ Re_ Go2 Pro(5).md","sdk","Go2","用户在使用 Go2 Pro 时遇到应用程序的问题。","建议用户删除应用程序并重新安装，然后使用 WIFI 模式连接机器人。应用程序内有教程视频可供参考。",""
"Re_ Re_ Go2 Pro(13).md","hardware","L1 LiDAR","客户报告了 L1 LiDAR 的问题。","确认了 LiDAR 的问题，并将为客户发送新的 L1 LiDAR 进行替换。",""
"Re_ Re_ Go2 Pro.md","other","Go2","Instructions for using the flip function of the Go2 robot dog, including safety notes and operational guidelines.","Users must ensure a safe environment, avoid obstacles, and understand the risks of hardware damage when performing flips. The first 6 flips per month are allowed without restrictions, but subsequent flips will require a cooling period.",""
"Re_ Re_ Go2 leaning and eventually falling over.md","control","Go2","The Go2 robot is leaning and eventually falling over.","It is suggested to perform at least two calibration procedures and then observe the behavior of the robot.",""
"Re_ Re_ Go2 utlidar(1).md","sensor","Go2","用户询问在开启 'sports mode' 服务时，是否能够获取 LiDAR 和 IMU 数据。","通常情况下，这应该是可行的。",""
"Re_ Re_ Go2 leaning and eventually falling over(1).md","hardware","Go2","The robot is leaning and eventually falling over, indicating a potential calibration issue.","It has been concluded that the calibration has not been done correctly. A calibration video is available in the ‘Guide’ of the main interface of unitree-go.",""
"Re_ Re_ Go2 leaning and eventually falling over(1).md","hardware","Go2","Camera blur problem reported.","Please provide the corresponding credentials and we can replace the camera with a new one.",""
"Re_ Re_ Go2W - Remote control with screen (Dual camera + 3 in 1) Warranty issue.md","hardware","Go2W","客户报告 Go2W 的大手电筒模块损坏。","确认手电筒模块损坏，将尽快发送新的 LED 手电筒模块给客户。",""
"Re_ Re_ Heat Up Issue with Unitree Go2 Robot(2).md","sdk","Go2","The software version 1.0.21 is too low, which may cause issues.","It's recommended to update the software version. Additionally, try connecting to a different network environment, such as a data hotspot instead of Uni wifi, to ensure a stable internet connection before updating.",""
"Re_ Re_ Heat Up Issue with Unitree Go2 Robot(1).md","sdk","Go2","客户询问关于 Unitree Go2 机器人加热问题的解决方案，并请求确认软件版本是否为最新。","建议确认 Unitree Go2 机器人的软件版本，并确保其更新到最新版本。如果在更新过程中遇到任何问题，可以提供在线协助。",""
"Re_ Re_ Heat Up Issue with Unitree Go2 Robot.md","hardware","Go2","The robot is experiencing overheating issues, particularly in early batches.","For early batches, a motor replacement may be necessary. For other batches, a software update should resolve the overheating problem. Additionally, avoid leaving the robot standing still for extended periods, as this can cause the motors to overheat. The software update includes a feature to make the robot take steps periodically to prevent overheating when it is detected to be standing too long.",""
"Re_ Re_ Hello(4).md","hardware","Go2","The joystick on the remote control appears to have a hardware issue, despite the software being fine.","Unscrew the two small screws at the back of the remote control and try to reset the joystick manually. Additionally, a new UWB small remote control and a UWB module will be sent, which need to be installed on the Go2 robot. The module on the robot must also be swapped out when replacing the remote control.",""
"Re_ Re_ H1 not responding to joystick commands(1).md","environment","H1","H1 not responding to joystick commands, possibly due to connection issues.","Ensure the H1 is connected to a reliable Wi-Fi network, such as a phone hotspot or private Wi-Fi, as there may be a firewall in the university Wi-Fi that is blocking the connection. Once connected and the H1 is online, remote OTA can be performed.",""
"Re_ Re_ Help Needed_ Lost Connection to PC4 on B2(2).md","hardware","B2","Lost connection to PC4 on B2.","Replace the damaged PC4 located in the bottom cover of the B2. Confirm that only PC4 is damaged before proceeding with the replacement.",""
"Re_ Re_ Help Needed_ Lost Connection to PC4 on B2.md","hardware","B2","客户需要确认PC4是否因硬件故障（NX basement power board）导致失去连接，还是仅仅因为IP问题。","建议客户拆开机壳，检查PC4的状态，并尝试将PC4与其他PC（如PC2或PC3）之间的连接进行切换，然后对192.168.162 / 163 / 164进行ping测试，以验证问题所在。","ping 192.168.162 ping 192.168.163 ping 192.168.164"
"Re_ Re_ Help w Go2 boot up after update attempt.(4).md","control","Go2","用户在更新后遇到 Go2 启动问题。","建议用户进行校准，并提供了相关的教程链接。","https://www.youtube.com/watch?v=OZISUvNR4cE&list=PLGhHq8nB_7DWSOAvCGiixHZzIYOysxMyj&index=5"
"Re_ Re_ Inquiry Regarding Unitree SDK Installation and Usage.md","sdk","","客户询问关于 Unitree SDK 的安装和使用。","建议客户查看 GitHub 上的 README 页面和官方文档以获取安装和使用的指导。","1. https://github.com/unitreerobotics/unitree_sdk2 2. https://support.unitree.com/home/en/developer/Quick_start"
"Re_ Re_ Inquiry About Repair Options for Unitree Go1 Edu USB Ports(1).md","hardware","Go1 EDU","客户需要修复 Unitree Go1 EDU 的 USB 接口，涉及主板的拆卸和更换。","提供了一系列视频指导客户如何拆卸机器人的塑料外壳，并说明将发送一个带 USB 接口的小型开发板，客户需要将损坏的主板与新的接口板分开并安装新的接口板。",""
"Re_ Re_ Issue Related to GO2’s SDK.md","environment","Go2","There is a connection issue between the robot's onboard computer and the docking station, as the docking station can be pinged but not the onboard computer.","Check the Ethernet cable connection between the robot and the docking station.",""
"Re_ Re_ Issue Related to GO2’s SDK(1).md","hardware","Go2","There might be an issue with the USB-C port.","Confirm whether the HDMI connection on the docking station connected to the USB-C port is working properly by connecting it to a monitor. This will help determine if the USB-C port is functioning correctly.",""
"Re_ Re_ Issue Related to GO2’s SDK(3).md","sdk","Go2","用户在测试 Go2 的 USB-C 端口功能时遇到问题。","建议用户使用鼠标和键盘或其他设备，通过适配器连接到 USB-C 端口进行测试，并检查其工作情况。问题可能与 USB-C 端口的网络驱动有关。",""
"Re_ Re_ Issue of wrong country code of Go2.md","other","Go2","The country code for the Go2 Air robot is registered as China, restricting its use outside of China.","Robots with a China country code are restricted for use within China. For further assistance, contact the seller from whom the robot was purchased.",""
"Re_ Re_ Issues with Go2's OrinNX Computer.md","hardware","Go2","There are potential issues with the Go2's OrinNX Computer that may be related to software or hardware.","Perform a software diagnostic to check for software issues using the provided diagnostic document. If a hardware problem is confirmed, a new expansion dock will be sent.",""
"Re_ Re_ Issues related to Unitree Go1(3).md","control","Go1","在视频中，用户在 4:37 时按下 R2+L2 之前没有切换到零扭矩模式，而是使用了阻尼模式。","用户需要在按下 R2+L2 之前切换到零扭矩模式，然后将腿放在一起，再按 L2+R2。",""
"Re_ Re_ Issues with Updating and Connecting to Unitree G1 EDU+ Robot.md","sdk","G1","After the latest firmware update, most customers are unable to complete the update through the app, which reports an error prompting them to update to the latest version.","The update was stopped due to an unknown bug. Some customers can use the new features normally, but most cannot complete the update. For SSH access, modify your PC's IP to static under the 192.168.123.xxx subnet.","ssh unitree@<IP>, password:123."
"Re_ Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","environment","Go2 EDU","The internal computer of the robot has an IP address that cannot be used for secondary development. The docking station's IP addresses are either 192.168.162 or 192.168.163.","Use a driver-free WiFi adapter with the docking station to enable internet access. Refer to the manual of the WiFi adapter for specific configuration methods.",""
"Re_ Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","sensor","Go2 EDU","Need to get the underlying status information for LiDAR data and point cloud registration.","Refer to the provided link to access the underlying status information through the interface.",""
"Re_ Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","environment","Go2 EDU","Recommended setup environment for HESAI LiDAR.","The recommended setup environment is Ubuntu 20.04 with ROS2, consistent with the examples provided in the technical documentation.",""
"Re_ Re_ Leg Rear Body Joint Winding Overheating.md","hardware","","Leg rear body joint winding overheating issue.","Ensure the robot's software is updated to the latest version using the phone app. Refer to the YouTube support channel for guidance.",""
"Re_ Re_ LSU PO 253844(2).md","other","","客户需要升级机器人臂和对接站软件模块，以解决老旧设备的问题。","请按照以下链接升级机器人臂和对接站软件模块：1. [机器人臂升级](https://support.unitree.com/home/zh/developer/D1Arm_services) 2. [对接站软件模块升级](https://support.unitree.com/home/en/developer/module_update)。完成这两个步骤后，问题应该会得到解决。",""
"Re_ Re_ LiDAR turning on and off(2).md","other","Go2","询问关于 LiDAR 的替换问题。","L2 LiDAR 可以替代 L1 LiDAR，且性能更佳。",""
"Re_ Re_ LSU PO 253844.md","sensor","Go2","The 3D LiDAR mapping functionality in the Unitree app is based on the L1 LiDAR sensor installed on the Go2 robot.","To use the 3D LiDAR mapping feature, create a map, save it, and then mark <ORDER_ID> for navigation. Refer to the tutorial video in the ‘Guide’ section of the app's main interface under ‘Tutorial Video’ for detailed instructions.",""
"Re_ Re_ LSU PO 253844.md","hardware","Go2","To operate the servo arm through the app, it needs to be connected first.","Connect the servo arm before operating it through the app. Refer to the D1 Arm Installation Guide for installation instructions.","D1 Arm Installation Guide"
"Re_ Re_ Lidar Replacement.md","sensor","Go2","客户询问如何更换 Go2 机器人的 LiDAR。","提供了关于更换 LiDAR 的教程链接，并推荐了 L1 和 L2 LiDAR SDK 的相关文档。","https://support.unitree.com/home/en/L1_SDK/L1_introduce https://support.unitree.com/home/en/L2_SDK/L2_introduce"
"Re_ Re_ Malfunctioning H1 Arm Motor(4).md","sdk","H1","The code for the wireless controller works on Go2 but not on H1 due to differences in the DDS structure. The controller signal path is different between the two models.","A request has been made to the R&D group, and a new demo of the wireless controller for H1 will be updated on GitHub within 24 hours.",""
"Re_ Re_ Mavlink message definitions for L1 RM LiDAR.md","sdk","L1 LiDAR","客户询问关于 L1 RM LiDAR 的 Mavlink 消息定义文件。","开发者确认没有该文件，但提供了一个类似功能的 '.h' 文件，位于 unilidar_sdk-1.0.10\unitree_lidar_sdk\include\mavlink\SysMavlink.h。建议客户进一步明确项目需求，以便提供更好的帮助。","unilidar_sdk-1.0.10\unitree_lidar_sdk\include\mavlink\SysMavlink.h"
"Re_ Re_ Movement code for the robot.md","sdk","","客户已经实现了大部分非移动的高层功能，如站立和坐下，表明PC与机器人之间的通信正常，但在移动命令方面遇到问题。","建议使用TrajectoryFollow函数来移动机器人，以实现所需的移动效果。鼓励客户深入文档并进行实验。","TrajectoryFollow()"
"Re_ Re_ Motogo's Go2-W concerns.md","control","Go2-W","用户在使用 Go2-W 时在第三步卡住，无法继续操作。","在倒计时结束之前，杀掉应用并重启应用。在主页上应该能看到 'reconnect' 图标，点击它即可继续。",""
"Re_ Re_ Motogo's Go2-W concerns.md","other","Go2-W","用户询问如何进行关节校准和偏移配置。","可以查看应用主页的教程视频，点击 'guide' 图标，或者在 'homepage- device-data-robot' 中找到校准页面的视频。",""
"Re_ Re_ Motogo's Go2-W concerns.md","sensor","Go2-W","用户询问是否需要重启 LiDAR，可能是因为机器人摔倒了。","在应用的 'Go' 页面中，使用侧边菜单或屏幕上的图标重启 LiDAR。",""
"Re_ Re_ Need Support for 4D Lidar L1.md","sensor","L1 LiDAR","需要将 Unitree 4D LiDAR L1 与 ESP32 集成以进行障碍物检测。","建议使用我们的 GitHub 仓库，其中包含 UniLidar SDK，提供了代码示例和库以帮助集成过程。","https://github.com/unitreerobotics/unilidar_sdk"
"Re_ Re_ Need Support for 4D Lidar L1.md","sdk","Go2","对 Unitree Go2 进行工厂监控和远程会议应用的兴趣。","建议访问我们的文档中心，提供关于 Go2 SDK 的全面指南，支持远程控制和与自定义平台的集成。","https://support.unitree.com/home/en/developer/about_Go2"
"Re_ Re_ New customer message on October 10, 2024 at 5_01 pm.md","other","Go2","Auto charging feature for Go2.","The auto charging feature for Go2 has been released.","https://support.unitree.com/home/en/developer/Aruco_Recharge"
"Re_ Re_ New problems GO2(1).md","other","Go2","客户询问如何通过Go2的热点进行开发，但官方表示Go2不支持这种方式。","官方确认Go2不支持通过其自身热点进行开发，并说明该更新是不可逆的。",""
"Re_ Re_ New problems GO2.md","environment","Go2","The robot's connectivity issues after the firmware upgrade and the problem with the wireless controller.","Check the closed SSL port 8081 and provide solutions. For the wireless controller, fully charge it and attempt to turn it on again.",""
"Re_ Re_ New problems GO2(2).md","sdk","Go2","The Go2 EDU robot does not have official documentation for development via its own WiFi connection, which is primarily for communication purposes.","For development guidance, refer to the technical documentation that includes tutorials and covers the use of the ROS2 interface, which requires the expansion dock for support.","https://support.unitree.com/home/zh/developer/about_Go2"
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(1).md","sdk","L1 LiDAR","The LIDAR services interface is not available in the Python SDK, causing frustration for the user.","The development team is working on integrating the LIDAR services interface into the Python SDK, but it may take at least two months. In the meantime, users are recommended to use the C++ SDK for LIDAR-related needs.",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(19).md","sdk","","The obstacles_avoid_switch.py code lacks a Move function to keep the robot moving.","Users are advised to understand the code's purpose before running it, as the absence of the Move function may lead to issues in obstacle avoidance.",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(15).md","sdk","","客户询问关于 Python SDK 中的障碍物避免功能。","Python SDK 现在支持障碍物避免移动接口，相关更新已推送到 GitHub，可以下载使用。请注意，该障碍物避免功能是一个独立接口，与 trajectoryFollow 无关。",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(18).md","sdk","Go2","在使用 unitree_sdk2_python/example/obstacles_avoid/ 目录中的 obstacles_avoid_switch.py 示例时，Go2 机器人在一个特定状态下交替启用和禁用障碍物避免功能。","测试了 obstacles_avoid_switch.py 示例，确认了代码描述的功能。","obstacles_avoid_switch.py"
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(16).md","sdk","","客户在使用 Python SDK 时遇到障碍物避免功能与轨迹跟随接口不兼容的问题。","障碍物避免功能使用了不同的接口，而当前的高层运动控制接口（包括轨迹跟随）不支持障碍物避免功能。建议客户使用更新后的障碍物避免接口进行项目开发。",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(21).md","sdk","","The logic in the obstacle_avoidance_move code was not robust.","The issue has been fixed and updated on GitHub. Additionally, a flaw in the timeout detection logic within the AI control system is still under repair.",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(2).md","sdk","L1 LiDAR","客户询问关于将LiDAR集成到Python中的障碍物避免功能。","目前没有关于LiDAR集成到Python的更新，任务优先级较低。对于障碍物避免集成到trajectoryFollow中，正在积极跟进并会尽快更新。C++ SDK的L1 LiDAR接口默认输出点云数据，如果需要原始LiDAR图像，需要将点云数据转换为所需格式。",""
"Re_ Re_ Obstacle Avoidance Issue with Python SDK(20).md","sdk","","在使用 Python SDK 的障碍物避让功能时，代码进入无限循环，导致机器人无法控制地向前移动。","建议在进入移动循环之前，添加对障碍物避让开关状态的检查，以确保障碍物避让功能已成功激活。","无"
"Re_ Re_ Obstacle Avoidance Issue with Python SDK.md","sdk","L1 LiDAR","Obstacle avoidance feature in the Python SDK does not support LIDAR information.","It is recommended to use the C++ SDK to access LIDAR information, as the Python SDK currently lacks this support. The team is prioritizing the addition of the LIDAR services interface in the Python SDK.",""
"Re_ Re_ Order #2283 robot issue..md","hardware","","The temperature display of the relevant motor shows 0, indicating that the wiring may be disconnected.","Check the wiring plug of the relevant motor. If the temperature display is 0, it means that the wiring is disconnected. Refer to the provided repair (disassembly) videos for guidance.","https://onedrive.live.com/?authkey=%21AKVasQNzFkMYjdA&id=CDE1BA91EFBCF992%214787&cid=CDE1BA91EFBCF992"
"Re_ Re_ Patrick Adams.md","hardware","","客户报告了电池问题，询问是否只在一个电池上存在该问题，并询问该电池属于哪种型号（普通型或扩展型）。","建议客户检查不同的电池以确认问题是否仅存在于一个电池上，并要求客户提供电池状态的视频。推荐的操作是将电池从机器人中取出，按下电池上的按钮，观察LED闪烁情况。",""
"Re_ Re_ Problems booting up Orin NX PC onboard Go2.md","other","Go2","用户在启动 Go2 上的 Orin NX PC 时遇到问题。","建议用户将硬盘从扩展坞中取出，并使用闪存读卡器安装新的系统镜像。在此之前，最好先备份系统。","https://support.unitree.com/home/en/developer/module_update"
"Re_ Re_ Problems booting up Orin NX PC onboard Go2(1).md","environment","Go2","Problems booting up Orin NX PC onboard Go2.","Use the specific software image provided by us to avoid unnecessary environment setup.","You can find the link to download the appropriate software image on our documentation center website."
"Re_ Re_ Programming Questions for Go2 EDU(1).md","sdk","Go2 EDU","Clarification on the supported architecture for autonomous development on Go2 EDU, specifically regarding network interfaces and where autonomous code should run.","The Go2 uses two separate network domains: Wi-Fi is for mobile app functionalities only, while PC2 Ethernet is the official development interface for running unitree_sdk2, ROS2, and custom control logic. Autonomous logic should run on an external or onboard companion computer connected via PC2 Ethernet, not on the Go2 controller itself, which is not supported for user autonomy software.","https://support.unitree.com/home/zh/developer/Payload"
"Re_ Re_ Programming Questions for Go2 EDU.md","sdk","Go2 EDU","如何在 Go2 Docking Station 上部署代码并通过 Wi-Fi 控制 SDK。","在 Go2 Docking Station 上部署代码并运行 SDK。可以插入 USB Wi-Fi 适配器，通过 Wi-Fi 控制运行在 Docking Station 上的 SDK，该 SDK 再与 PC1 通信以控制机器人。建议的开发方法是将应用程序部署在 Go2 Docking Station 上。","https://support.unitree.com/home/zh/developer/SLAM%20and%20Navigation_service https://global-serviceconsole.unitree.com/#/help/HowtoUse"
"Re_ Re_ Questions About SDK, Debug Mode, and Charging(2).md","sdk","G1","客户询问关于SDK的调试模式和充电相关问题。","提供了更新的接口链接和示例代码，以帮助客户解决SDK相关问题。","https://github.com/unitreerobotics/unitree_sdk2/blob/main/example/g1/audio/g1_audio_client_example.cpp https://support.unitree.com/home/en/G1_developer/VuiClient_Service"
"Re_ Re_ Questions About SDK, Debug Mode, and Charging(3).md","sdk","G1","The customer inquired about the high-level moving function for the G1 hands.","The high-level moving function for the G1 hands is available under a different branch in the GitHub repository and works well.","https://github.com/unitreerobotics/unitree_sdk2/tree/add_api_for_arm_tasks_in_g1"
"Re_ Re_ Questions about LiDAR L1 RM windows SDK.md","sdk","L1 LiDAR","The user is facing challenges with the LiDAR SDK on Windows, including dependencies, compiler compatibility, and missing libraries.","The current LiDAR SDK is designed for Linux environments only, and Windows-based systems are not officially supported. Therefore, no technical support can be provided for integrating the SDK on Windows.",""
"Re_ Re_ Questions about Go2 EDU.md","other","Go2 EDU","询问如何升级Go2 EDU的系统。","要升级主板的系统，需要找到一个NVME读卡器并取出硬盘。可以参考以下链接进行操作： https://support.unitree.com/home/en/developer/module_update","https://support.unitree.com/home/en/developer/module_update"
"Re_ Re_ Questions(3).md","control","","用户在使用 UWB 时遇到问题，未能正确使用设备。","请再次阅读手册，并正确使用 UWB。确保天线朝上，遥控器佩戴在腰部右侧；人站在机器人左侧，身体与机器人方向对齐。","https://support.unitree.com/home/en/developer/UWB%20Application"
"Re_ Re_ Questions.md","control","null","关于机器狗翻转的问题，确认软件已更新到最新版本，电池电量充足，电机已正确校准，落地成功率应超过90%。","建议确保机器狗在有足够摩擦力的地面上工作，而不是在光滑的表面上。",""
"Re_ Re_ ROS Version Compatibility for Unitree Go2 EDU(1).md","other","Go2 EDU","客户询问关于 Unitree Go2 EDU 的 ROS 版本兼容性。","提供了 Unitree Go2 机器人的 STEP 模型和 URDF 文件，并指向官方文档下载链接。","https://support.unitree.com/home/en/developer/Obtain%20SDK"
"Re_ Re_ ROS2 SDK on Onboard Computer(1).md","sdk","Go2 EDU","如何在Go2 EDU的Dock PC上使用ROS2 SDK。","可以下载类似于'no machine'的远程桌面应用程序。如果购买了带Dock PC的Go2 EDU，ROS、no machine和unitreeROS SDK应该已经预安装。可以使用no machine或ssh工具来操作终端。",""
